dimension,cache_line_size,cache_line_number,cache_miss
3,1,1,48
3,1,2,41
3,1,4,29
3,1,8,24
3,1,16,24
3,1,32,24
3,1,64,24
3,2,1,40
3,2,2,33
3,2,4,22
3,2,8,22
3,2,16,22
3,2,32,22
3,2,64,22
3,4,1,40
3,4,2,36
3,4,4,36
3,4,8,36
3,4,16,36
3,4,32,36
3,4,64,36
3,8,1,50
3,8,2,49
3,8,4,49
3,8,8,49
3,8,16,49
3,8,32,49
3,8,64,49
3,16,1,54
3,16,2,54
3,16,4,54
3,16,8,54
3,16,16,54
3,16,32,54
3,16,64,54
3,32,1,54
3,32,2,54
3,32,4,54
3,32,8,54
3,32,16,54
3,32,32,54
3,32,64,54
3,64,1,54
3,64,2,54
3,64,4,54
3,64,8,54
3,64,16,54
3,64,32,54
3,64,64,54
6,1,1,420
6,1,2,329
6,1,4,256
6,1,8,135
6,1,16,103
6,1,32,87
6,1,64,87
6,2,1,408
6,2,2,267
6,2,4,160
6,2,8,99
6,2,16,67
6,2,32,67
6,2,64,67
6,4,1,384
6,4,2,213
6,4,4,138
6,4,8,78
6,4,16,76
6,4,32,76
6,4,64,76
6,8,1,368
6,8,2,229
6,8,4,124
6,8,8,113
6,8,16,113
6,8,32,113
6,8,64,113
6,16,1,312
6,16,2,219
6,16,4,193
6,16,8,193
6,16,16,193
6,16,32,193
6,16,64,193
6,32,1,392
6,32,2,356
6,32,4,356
6,32,8,356
6,32,16,356
6,32,32,356
6,32,64,356
6,64,1,432
6,64,2,432
6,64,4,432
6,64,8,432
6,64,16,432
6,64,32,432
6,64,64,432
10,1,1,1980
10,1,2,1530
10,1,4,1302
10,1,8,796
10,1,16,363
10,1,32,279
10,1,64,243
10,2,1,1960
10,2,2,1255
10,2,4,783
10,2,8,424
10,2,16,259
10,2,32,187
10,2,64,155
10,4,1,1920
10,4,2,1103
10,4,4,606
10,4,8,354
10,4,16,208
10,4,32,152
10,4,64,152
10,8,1,1832
10,8,2,970
10,8,4,596
10,8,8,352
10,8,16,209
10,8,32,209
10,8,64,209
10,16,1,1704
10,16,2,940
10,16,4,555
10,16,8,331
10,16,16,331
10,16,32,331
10,16,64,331
10,32,1,1488
10,32,2,1077
10,32,4,654
10,32,8,654
10,32,16,654
10,32,32,654
10,32,64,654
10,64,1,1568
10,64,2,1141
10,64,4,1141
10,64,8,1141
10,64,16,1141
10,64,32,1141
10,64,64,1141
20,1,1,15960
20,1,2,12160
20,1,4,10259
20,1,8,9305
20,1,16,4857
20,1,32,1499
20,1,64,1149
20,2,1,15920
20,2,2,10120
20,2,4,7213
20,2,8,4068
20,2,16,1772
20,2,32,1141
20,2,64,753
20,4,1,15840
20,4,2,9031
20,4,4,5076
20,4,8,2538
20,4,16,1488
20,4,32,819
20,4,64,545
20,8,1,15680
20,8,2,8387
20,8,4,4251
20,8,8,2470
20,8,16,1333
20,8,32,839
20,8,64,471
20,16,1,15360
20,16,2,7727
20,16,4,4145
20,16,8,2402
20,16,16,1382
20,16,32,740
20,16,64,740
20,32,1,14848
20,32,2,7217
20,32,4,4230
20,32,8,2373
20,32,16,1335
20,32,32,1335
20,32,64,1335
20,64,1,13952
20,64,2,7024
20,64,4,4542
20,64,8,2683
20,64,16,2683
20,64,32,2683
20,64,64,2683
50,1,1,249900
50,1,2,188650
50,1,4,158019
50,1,8,142701
50,1,16,135042
50,1,32,99077
50,1,64,10703
50,2,1,249800
50,2,2,157296
50,2,4,111040
50,2,8,87908
50,2,16,61349
50,2,32,13219
50,2,64,8219
50,4,1,249600
50,4,2,142088
50,4,4,88335
50,4,8,55924
50,4,16,20084
50,4,32,11606
50,4,64,6584
50,8,1,249200
50,8,2,134182
50,8,4,75427
50,8,8,34824
50,8,16,19002
50,8,32,10427
50,8,64,5743
50,16,1,248400
50,16,2,129625
50,16,4,64577
50,16,8,33486
50,16,16,18561
50,16,32,9947
50,16,64,5408
50,32,1,246800
50,32,2,124977
50,32,4,62756
50,32,8,33436
50,32,16,18332
50,32,32,9933
50,32,64,5393
50,64,1,243856
50,64,2,120852
50,64,4,60490
50,64,8,33230
50,64,16,18095
50,64,32,9362
50,64,64,6512
100,1,1,1999800
100,1,2,1504800
100,1,4,1257300
100,1,8,1133536
100,1,16,1071649
100,1,32,1040705
100,1,64,756726
100,2,1,1999600
100,2,2,1254600
100,2,4,882088
100,2,8,695826
100,2,16,602695
100,2,32,426214
100,2,64,53467
100,4,1,1999200
100,4,2,1129192
100,4,4,694176
100,4,8,476672
100,4,16,307286
100,4,32,81439
100,4,64,46802
100,8,1,1998400
100,8,2,1068367
100,8,4,603380
100,8,8,348564
100,8,16,141518
100,8,32,76763
100,8,64,42892
100,16,1,1996800
100,16,2,1036804
100,16,4,551784
100,16,8,263652
100,16,16,136645
100,16,32,74604
100,16,64,41422
100,32,1,1993600
100,32,2,1018565
100,32,4,507992
100,32,8,257443
100,32,16,135251
100,32,32,73478
100,32,64,41328
100,64,1,1987200
100,64,2,999504
100,64,4,499632
100,64,8,252851
100,64,16,135696
100,64,32,73117
100,64,64,42391
