dimension,cache_line_size,cache_line_number,cache_miss
3,1,1,48
3,1,2,41
3,1,4,29
3,1,8,24
3,1,16,24
3,1,32,24
3,1,64,24
3,2,1,40
3,2,2,40
3,2,4,23
3,2,8,23
3,2,16,23
3,2,32,23
3,2,64,23
3,4,1,40
3,4,2,37
3,4,4,34
3,4,8,34
3,4,16,34
3,4,32,34
3,4,64,34
3,8,1,50
3,8,2,49
3,8,4,49
3,8,8,49
3,8,16,49
3,8,32,49
3,8,64,49
3,16,1,54
3,16,2,54
3,16,4,54
3,16,8,54
3,16,16,54
3,16,32,54
3,16,64,54
3,32,1,54
3,32,2,54
3,32,4,54
3,32,8,54
3,32,16,54
3,32,32,54
3,32,64,54
3,64,1,54
3,64,2,54
3,64,4,54
3,64,8,54
3,64,16,54
3,64,32,54
3,64,64,54
6,1,1,420
6,1,2,329
6,1,4,289
6,1,8,230
6,1,16,103
6,1,32,87
6,1,64,87
6,2,1,408
6,2,2,312
6,2,4,242
6,2,8,91
6,2,16,63
6,2,32,63
6,2,64,63
6,4,1,384
6,4,2,300
6,4,4,231
6,4,8,92
6,4,16,70
6,4,32,70
6,4,64,70
6,8,1,368
6,8,2,294
6,8,4,153
6,8,8,108
6,8,16,108
6,8,32,108
6,8,64,108
6,16,1,312
6,16,2,243
6,16,4,190
6,16,8,190
6,16,16,190
6,16,32,190
6,16,64,190
6,32,1,392
6,32,2,355
6,32,4,355
6,32,8,355
6,32,16,355
6,32,32,355
6,32,64,355
6,64,1,432
6,64,2,432
6,64,4,432
6,64,8,432
6,64,16,432
6,64,32,432
6,64,64,432
10,1,1,1980
10,1,2,1530
10,1,4,1304
10,1,8,1204
10,1,16,684
10,1,32,279
10,1,64,243
10,2,1,1960
10,2,2,1483
10,2,4,1257
10,2,8,704
10,2,16,239
10,2,32,175
10,2,64,147
10,4,1,1920
10,4,2,1442
10,4,4,1241
10,4,8,850
10,4,16,194
10,4,32,140
10,4,64,140
10,8,1,1832
10,8,2,1398
10,8,4,1254
10,8,8,773
10,8,16,195
10,8,32,195
10,8,64,195
10,16,1,1704
10,16,2,1218
10,16,4,856
10,16,8,322
10,16,16,322
10,16,32,322
10,16,64,322
10,32,1,1488
10,32,2,1195
10,32,4,649
10,32,8,649
10,32,16,649
10,32,32,649
10,32,64,649
10,64,1,1568
10,64,2,1139
10,64,4,1139
10,64,8,1139
10,64,16,1139
10,64,32,1139
10,64,64,1139
20,1,1,15960
20,1,2,12160
20,1,4,10259
20,1,8,9315
20,1,16,8854
20,1,32,8636
20,1,64,4102
20,2,1,15920
20,2,2,12020
20,2,4,10072
20,2,8,9114
20,2,16,8684
20,2,32,3982
20,2,64,699
20,4,1,15840
20,4,2,11888
20,4,4,9936
20,4,8,9018
20,4,16,4222
20,4,32,747
20,4,64,501
20,8,1,15680
20,8,2,11719
20,8,4,9796
20,8,8,9028
20,8,16,4129
20,8,32,3447
20,8,64,443
20,16,1,15360
20,16,2,11435
20,16,4,9777
20,16,8,9010
20,16,16,5148
20,16,32,710
20,16,64,710
20,32,1,14848
20,32,2,9605
20,32,4,7849
20,32,8,5425
20,32,16,1316
20,32,32,1316
20,32,64,1316
20,64,1,13952
20,64,2,8322
20,64,4,6023
20,64,8,2674
20,64,16,2674
20,64,32,2674
20,64,64,2674
50,1,1,249900
50,1,2,188650
50,1,4,158023
50,1,8,142710
50,1,16,135056
50,1,32,131248
50,1,64,96185
50,2,1,249800
50,2,2,187923
50,2,4,156983
50,2,8,141517
50,2,16,133804
50,2,32,97040
50,2,64,7303
50,4,1,249600
50,4,2,187415
50,4,4,156327
50,4,8,140801
50,4,16,133138
50,4,32,95847
50,4,64,27792
50,8,1,249200
50,8,2,186858
50,8,4,155712
50,8,8,140247
50,8,16,132946
50,8,32,90448
50,8,64,37997
50,16,1,248400
50,16,2,186005
50,16,4,154923
50,16,8,139803
50,16,16,132951
50,16,32,89624
50,16,64,43119
50,32,1,246800
50,32,2,184487
50,32,4,153768
50,32,8,140149
50,32,16,132918
50,32,32,86931
50,32,64,45652
50,64,1,243856
50,64,2,168067
50,64,4,131979
50,64,8,116795
50,64,16,107525
50,64,32,42215
50,64,64,6437
100,1,1,1999800
100,1,2,1504800
100,1,4,1257300
100,1,8,1133548
100,1,16,1071675
100,1,32,1040752
100,1,64,1025321
100,2,1,1999600
100,2,2,1502100
100,2,4,1253348
100,2,8,1128974
100,2,16,1066801
100,2,32,1035753
100,2,64,1020441
100,4,1,1999200
100,4,2,1500448
100,4,4,1251069
100,4,8,1126399
100,4,16,1064108
100,4,32,1033167
100,4,64,744235
100,8,1,1998400
100,8,2,1499023
100,8,4,1249365
100,8,8,1124573
100,8,16,1062371
100,8,32,1032154
100,8,64,742456
100,16,1,1996800
100,16,2,1497143
100,16,4,1247345
100,16,8,1122653
100,16,16,1061179
100,16,32,1031837
100,16,64,815426
100,32,1,1993600
100,32,2,1493820
100,32,4,1244168
100,32,8,1120138
100,32,16,1061597
100,32,32,1031583
100,32,64,915537
100,64,1,1987200
100,64,2,1487470
100,64,4,1238611
100,64,8,1117426
100,64,16,1062771
100,64,32,1031560
100,64,64,966229
