dimension,cache_line_size,cache_line_number,cache_miss
3,1,1,49
3,1,2,49
3,1,4,50
3,1,8,40
3,1,16,38
3,1,32,38
3,1,64,38
3,2,1,45
3,2,2,45
3,2,4,33
3,2,8,29
3,2,16,29
3,2,32,29
3,2,64,29
3,4,1,38
3,4,2,39
3,4,4,32
3,4,8,32
3,4,16,32
3,4,32,32
3,4,64,32
3,8,1,49
3,8,2,47
3,8,4,47
3,8,8,47
3,8,16,47
3,8,32,47
3,8,64,47
3,16,1,54
3,16,2,54
3,16,4,54
3,16,8,54
3,16,16,54
3,16,32,54
3,16,64,54
3,32,1,54
3,32,2,54
3,32,4,54
3,32,8,54
3,32,16,54
3,32,32,54
3,32,64,54
3,64,1,54
3,64,2,54
3,64,4,54
3,64,8,54
3,64,16,54
3,64,32,54
3,64,64,54
6,1,1,421
6,1,2,420
6,1,4,412
6,1,8,376
6,1,16,325
6,1,32,205
6,1,64,167
6,2,1,410
6,2,2,350
6,2,4,328
6,2,8,236
6,2,16,145
6,2,32,119
6,2,64,119
6,4,1,388
6,4,2,317
6,4,4,292
6,4,8,139
6,4,16,112
6,4,32,112
6,4,64,112
6,8,1,368
6,8,2,305
6,8,4,181
6,8,8,136
6,8,16,136
6,8,32,136
6,8,64,136
6,16,1,320
6,16,2,259
6,16,4,206
6,16,8,206
6,16,16,206
6,16,32,206
6,16,64,206
6,32,1,388
6,32,2,353
6,32,4,353
6,32,8,353
6,32,16,353
6,32,32,353
6,32,64,353
6,64,1,432
6,64,2,432
6,64,4,432
6,64,8,432
6,64,16,432
6,64,32,432
6,64,64,432
10,1,1,1981
10,1,2,1980
10,1,4,1963
10,1,8,1916
10,1,16,1646
10,1,32,1391
10,1,64,1067
10,2,1,1962
10,2,2,1695
10,2,4,1561
10,2,8,1401
10,2,16,999
10,2,32,701
10,2,64,339
10,4,1,1924
10,4,2,1563
10,4,4,1413
10,4,8,1062
10,4,16,576
10,4,32,294
10,4,64,294
10,8,1,1844
10,8,2,1468
10,8,4,1374
10,8,8,914
10,8,16,332
10,8,32,332
10,8,64,332
10,16,1,1720
10,16,2,1250
10,16,4,938
10,16,8,404
10,16,16,404
10,16,32,404
10,16,64,404
10,32,1,1488
10,32,2,1203
10,32,4,667
10,32,8,667
10,32,16,667
10,32,32,667
10,32,64,667
10,64,1,1558
10,64,2,1137
10,64,4,1137
10,64,8,1137
10,64,16,1137
10,64,32,1137
10,64,64,1137
20,1,1,15961
20,1,2,15960
20,1,4,15958
20,1,8,15920
20,1,16,13612
20,1,32,11458
20,1,64,10706
20,2,1,15922
20,2,2,13921
20,2,4,12883
20,2,8,11740
20,2,16,10856
20,2,32,8683
20,2,64,6049
20,4,1,15844
20,4,2,12811
20,4,4,11276
20,4,8,10585
20,4,16,7656
20,4,32,4220
20,4,64,2778
20,8,1,15688
20,8,2,12258
20,8,4,10564
20,8,8,9760
20,8,16,6194
20,8,32,4780
20,8,64,1073
20,16,1,15376
20,16,2,11812
20,16,4,10235
20,16,8,9483
20,16,16,6076
20,16,32,1316
20,16,64,1316
20,32,1,14848
20,32,2,9836
20,32,4,8112
20,32,8,5765
20,32,16,1690
20,32,32,1690
20,32,64,1690
20,64,1,13952
20,64,2,8458
20,64,4,6180
20,64,8,2858
20,64,16,2858
20,64,32,2858
20,64,64,2858
50,1,1,249901
50,1,2,249900
50,1,4,249796
50,1,8,249587
50,1,16,249196
50,1,32,248804
50,1,64,210823
50,2,1,249802
50,2,2,218456
50,2,4,202640
50,2,8,194473
50,2,16,190078
50,2,32,184918
50,2,64,132705
50,4,1,249604
50,4,2,203247
50,4,4,179936
50,4,8,168033
50,4,16,162085
50,4,32,137264
50,4,64,91047
50,8,1,249208
50,8,2,195346
50,8,4,168264
50,8,8,154657
50,8,16,148783
50,8,32,105383
50,8,64,69891
50,16,1,248416
50,16,2,190802
50,16,4,161967
50,16,8,147877
50,16,16,141445
50,16,32,97470
50,16,64,59176
50,32,1,246832
50,32,2,187441
50,32,4,158080
50,32,8,144993
50,32,16,138193
50,32,32,92731
50,32,64,51508
50,64,1,243896
50,64,2,169827
50,64,4,134355
50,64,8,119867
50,64,16,110576
50,64,32,45885
50,64,64,10151
100,1,1,1999801
100,1,2,1999800
100,1,4,1999798
100,1,8,1999584
100,1,16,1999158
100,1,32,1998368
100,1,64,1858744
100,2,1,1999602
100,2,2,1749601
100,2,4,1624395
100,2,8,1561482
100,2,16,1529430
100,2,32,1477534
100,2,64,1340647
100,4,1,1999204
100,4,2,1624012
100,4,4,1436128
100,4,8,1341640
100,4,16,1293436
100,4,32,1269300
100,4,64,1130073
100,8,1,1998408
100,8,2,1563191
100,8,4,1345320
100,8,8,1235817
100,8,16,1180573
100,8,32,1155732
100,8,64,969774
100,16,1,1996816
100,16,2,1531612
100,16,4,1298678
100,16,8,1181946
100,16,16,1124220
100,16,32,1099067
100,16,64,934786
100,32,1,1993632
100,32,2,1513412
100,32,4,1273226
100,32,8,1153439
100,32,16,1098085
100,32,32,1069971
100,32,64,971647
100,64,1,1987264
100,64,2,1499654
100,64,4,1256398
100,64,8,1137924
100,64,16,1085908
100,64,32,1054437
100,64,64,994676
