dimension,cache_line_size,cache_line_number,cache_miss
3,1,1,49
3,1,2,40
3,1,4,40
3,1,8,32
3,1,16,30
3,1,32,30
3,1,64,30
3,2,1,40
3,2,2,34
3,2,4,24
3,2,8,22
3,2,16,22
3,2,32,22
3,2,64,22
3,4,1,38
3,4,2,33
3,4,4,30
3,4,8,30
3,4,16,30
3,4,32,30
3,4,64,30
3,8,1,49
3,8,2,47
3,8,4,47
3,8,8,47
3,8,16,47
3,8,32,47
3,8,64,47
3,16,1,54
3,16,2,54
3,16,4,54
3,16,8,54
3,16,16,54
3,16,32,54
3,16,64,54
3,32,1,54
3,32,2,54
3,32,4,54
3,32,8,54
3,32,16,54
3,32,32,54
3,32,64,54
3,64,1,54
3,64,2,54
3,64,4,54
3,64,8,54
3,64,16,54
3,64,32,54
3,64,64,54
6,1,1,421
6,1,2,328
6,1,4,286
6,1,8,274
6,1,16,263
6,1,32,149
6,1,64,117
6,2,1,409
6,2,2,258
6,2,4,200
6,2,8,161
6,2,16,91
6,2,32,75
6,2,64,75
6,4,1,385
6,4,2,214
6,4,4,146
6,4,8,80
6,4,16,72
6,4,32,72
6,4,64,72
6,8,1,368
6,8,2,224
6,8,4,122
6,8,8,108
6,8,16,108
6,8,32,108
6,8,64,108
6,16,1,313
6,16,2,218
6,16,4,190
6,16,8,190
6,16,16,190
6,16,32,190
6,16,64,190
6,32,1,391
6,32,2,353
6,32,4,353
6,32,8,353
6,32,16,353
6,32,32,353
6,32,64,353
6,64,1,432
6,64,2,432
6,64,4,432
6,64,8,432
6,64,16,432
6,64,32,432
6,64,64,432
10,1,1,1981
10,1,2,1528
10,1,4,1302
10,1,8,1202
10,1,16,1156
10,1,32,1127
10,1,64,893
10,2,1,1961
10,2,2,1233
10,2,4,883
10,2,8,730
10,2,16,637
10,2,32,487
10,2,64,187
10,4,1,1921
10,4,2,1071
10,4,4,676
10,4,8,482
10,4,16,332
10,4,32,152
10,4,64,152
10,8,1,1834
10,8,2,959
10,8,4,595
10,8,8,366
10,8,16,196
10,8,32,196
10,8,64,196
10,16,1,1704
10,16,2,932
10,16,4,554
10,16,8,320
10,16,16,320
10,16,32,320
10,16,64,320
10,32,1,1487
10,32,2,1076
10,32,4,645
10,32,8,645
10,32,16,645
10,32,32,645
10,32,64,645
10,64,1,1567
10,64,2,1137
10,64,4,1137
10,64,8,1137
10,64,16,1137
10,64,32,1137
10,64,64,1137
20,1,1,15961
20,1,2,12158
20,1,4,10254
20,1,8,9305
20,1,16,8847
20,1,32,8637
20,1,64,8518
20,2,1,15921
20,2,2,10018
20,2,4,7068
20,2,8,5611
20,2,16,4933
20,2,32,4566
20,2,64,4383
20,4,1,15841
20,4,2,8888
20,4,4,5434
20,4,8,3762
20,4,16,2962
20,4,32,2531
20,4,64,1839
20,8,1,15681
20,8,2,8219
20,8,4,4531
20,8,8,2904
20,8,16,1977
20,8,32,1313
20,8,64,467
20,16,1,15361
20,16,2,7657
20,16,4,4135
20,16,8,2444
20,16,16,1458
20,16,32,712
20,16,64,712
20,32,1,14848
20,32,2,7179
20,32,4,4204
20,32,8,2363
20,32,16,1316
20,32,32,1316
20,32,64,1316
20,64,1,13952
20,64,2,7020
20,64,4,4541
20,64,8,2674
20,64,16,2674
20,64,32,2674
20,64,64,2674
50,1,1,249901
50,1,2,188648
50,1,4,158019
50,1,8,142701
50,1,16,135042
50,1,32,131235
50,1,64,129414
50,2,1,249801
50,2,2,156673
50,2,4,110109
50,2,8,86829
50,2,16,75207
50,2,32,69519
50,2,64,66659
50,4,1,249601
50,4,2,140542
50,4,4,86018
50,4,8,58766
50,4,16,45243
50,4,32,38688
50,4,64,35282
50,8,1,249201
50,8,2,132186
50,8,4,73694
50,8,8,44556
50,8,16,30432
50,8,32,23278
50,8,64,19646
50,16,1,248401
50,16,2,127424
50,16,4,67053
50,16,8,37299
50,16,16,23116
50,16,32,15596
50,16,64,11940
50,32,1,246801
50,32,2,123961
50,32,4,63002
50,32,8,34267
50,32,16,19464
50,32,32,11993
50,32,64,5919
50,64,1,243856
50,64,2,120219
50,64,4,60208
50,64,8,33091
50,64,16,18043
50,64,32,9374
50,64,64,6437
100,1,1,1999801
100,1,2,1504798
100,1,4,1257294
100,1,8,1133536
100,1,16,1071649
100,1,32,1040706
100,1,64,1025264
100,2,1,1999601
100,2,2,1252098
100,2,4,878344
100,2,8,691465
100,2,16,598036
100,2,32,551358
100,2,64,528259
100,4,1,1999201
100,4,2,1125448
100,4,4,688569
100,4,8,470153
100,4,16,360978
100,4,32,306599
100,4,64,279802
100,8,1,1998401
100,8,2,1061523
100,8,4,593127
100,8,8,358950
100,8,16,242048
100,8,32,184501
100,8,64,155511
100,16,1,1996801
100,16,2,1028422
100,16,4,544232
100,16,8,302327
100,16,16,182264
100,16,32,123618
100,16,64,93374
100,32,1,1993601
100,32,2,1009467
100,32,4,517624
100,32,8,272515
100,32,16,153410
100,32,32,93184
100,32,64,62510
100,64,1,1987201
100,64,2,995287
100,64,4,500367
100,64,8,256107
100,64,16,140110
100,64,32,78173
100,64,64,48110
