dimension,cache_line_size,cache_line_number,cache_miss
3,1,1,49
3,1,2,49
3,1,4,50
3,1,8,40
3,1,16,38
3,1,32,38
3,1,64,38
3,2,1,45
3,2,2,48
3,2,4,37
3,2,8,36
3,2,16,36
3,2,32,36
3,2,64,36
3,4,1,38
3,4,2,37
3,4,4,33
3,4,8,33
3,4,16,33
3,4,32,33
3,4,64,33
3,8,1,49
3,8,2,48
3,8,4,48
3,8,8,48
3,8,16,48
3,8,32,48
3,8,64,48
3,16,1,54
3,16,2,54
3,16,4,54
3,16,8,54
3,16,16,54
3,16,32,54
3,16,64,54
3,32,1,54
3,32,2,54
3,32,4,54
3,32,8,54
3,32,16,54
3,32,32,54
3,32,64,54
3,64,1,54
3,64,2,54
3,64,4,54
3,64,8,54
3,64,16,54
3,64,32,54
3,64,64,54
6,1,1,421
6,1,2,421
6,1,4,418
6,1,8,417
6,1,16,320
6,1,32,193
6,1,64,167
6,2,1,410
6,2,2,348
6,2,4,332
6,2,8,222
6,2,16,138
6,2,32,125
6,2,64,125
6,4,1,388
6,4,2,314
6,4,4,278
6,4,8,149
6,4,16,128
6,4,32,128
6,4,64,128
6,8,1,368
6,8,2,304
6,8,4,181
6,8,8,145
6,8,16,145
6,8,32,145
6,8,64,145
6,16,1,320
6,16,2,255
6,16,4,211
6,16,8,211
6,16,16,211
6,16,32,211
6,16,64,211
6,32,1,388
6,32,2,354
6,32,4,354
6,32,8,354
6,32,16,354
6,32,32,354
6,32,64,354
6,64,1,432
6,64,2,432
6,64,4,432
6,64,8,432
6,64,16,432
6,64,32,432
6,64,64,432
10,1,1,1981
10,1,2,1981
10,1,4,1965
10,1,8,1971
10,1,16,1799
10,1,32,1385
10,1,64,1054
10,2,1,1962
10,2,2,1692
10,2,4,1554
10,2,8,1376
10,2,16,904
10,2,32,655
10,2,64,349
10,4,1,1924
10,4,2,1538
10,4,4,1390
10,4,8,1146
10,4,16,516
10,4,32,324
10,4,64,324
10,8,1,1844
10,8,2,1440
10,8,4,1344
10,8,8,915
10,8,16,372
10,8,32,372
10,8,64,372
10,16,1,1720
10,16,2,1238
10,16,4,929
10,16,8,423
10,16,16,423
10,16,32,423
10,16,64,423
10,32,1,1488
10,32,2,1200
10,32,4,668
10,32,8,668
10,32,16,668
10,32,32,668
10,32,64,668
10,64,1,1558
10,64,2,1137
10,64,4,1137
10,64,8,1137
10,64,16,1137
10,64,32,1137
10,64,64,1137
20,1,1,15961
20,1,2,15961
20,1,4,15961
20,1,8,15932
20,1,16,15944
20,1,32,16000
20,1,64,12867
20,2,1,15922
20,2,2,13922
20,2,4,12886
20,2,8,12360
20,2,16,12248
20,2,32,8966
20,2,64,5544
20,4,1,15844
20,4,2,12804
20,4,4,11264
20,4,8,10586
20,4,16,7308
20,4,32,3704
20,4,64,2585
20,8,1,15688
20,8,2,12160
20,8,4,10432
20,8,8,9858
20,8,16,5676
20,8,32,4563
20,8,64,1209
20,16,1,15376
20,16,2,11668
20,16,4,10076
20,16,8,9426
20,16,16,5804
20,16,32,1464
20,16,64,1464
20,32,1,14848
20,32,2,9764
20,32,4,8024
20,32,8,5727
20,32,16,1765
20,32,32,1765
20,32,64,1765
20,64,1,13952
20,64,2,8424
20,64,4,6173
20,64,8,2895
20,64,16,2895
20,64,32,2895
20,64,64,2895
50,1,1,249901
50,1,2,249901
50,1,4,249802
50,1,8,249607
50,1,16,249279
50,1,32,249050
50,1,64,242501
50,2,1,249802
50,2,2,218452
50,2,4,202628
50,2,8,194446
50,2,16,190042
50,2,32,181928
50,2,64,114055
50,4,1,249604
50,4,2,202634
50,4,4,179004
50,4,8,166976
50,4,16,160968
50,4,32,138626
50,4,64,77033
50,8,1,249208
50,8,2,194436
50,8,4,166934
50,8,8,153120
50,8,16,147125
50,8,32,112822
50,8,64,61615
50,16,1,248416
50,16,2,189772
50,16,4,160430
50,16,8,146128
50,16,16,140162
50,16,32,100905
50,16,64,54556
50,32,1,246832
50,32,2,186332
50,32,4,156464
50,32,8,143395
50,32,16,136548
50,32,32,92619
50,32,64,50355
50,64,1,243896
50,64,2,168994
50,64,4,133312
50,64,8,118584
50,64,16,109448
50,64,32,45492
50,64,64,10248
100,1,1,1999801
100,1,2,1999801
100,1,4,1999801
100,1,8,1999602
100,1,16,1999218
100,1,32,1998560
100,1,64,1998112
100,2,1,1999602
100,2,2,1749602
100,2,4,1624402
100,2,8,1561512
100,2,16,1529536
100,2,32,1512906
100,2,64,1506635
100,4,1,1999204
100,4,2,1624004
100,4,4,1436104
100,4,8,1341592
100,4,16,1293444
100,4,32,1269300
100,4,64,1094666
100,8,1,1998408
100,8,2,1560708
100,8,4,1341584
100,8,8,1231512
100,8,16,1176004
100,8,32,1151017
100,8,64,917609
100,16,1,1996816
100,16,2,1527900
100,16,4,1293164
100,16,8,1175532
100,16,16,1117432
100,16,32,1091876
100,16,64,895855
100,32,1,1993632
100,32,2,1509144
100,32,4,1266848
100,32,8,1146132
100,32,16,1090309
100,32,32,1061628
100,32,64,950948
100,64,1,1987264
100,64,2,1495108
100,64,4,1249728
100,64,8,1130324
100,64,16,1077360
100,64,32,1046644
100,64,64,982650
