dimension,cache_line_size,cache_line_number,cache_miss
3,1,1,47
3,1,2,39
3,1,4,40
3,1,8,32
3,1,16,30
3,1,32,30
3,1,64,30
3,2,1,40
3,2,2,40
3,2,4,33
3,2,8,30
3,2,16,30
3,2,32,30
3,2,64,30
3,4,1,40
3,4,2,41
3,4,4,38
3,4,8,38
3,4,16,38
3,4,32,38
3,4,64,38
3,8,1,50
3,8,2,49
3,8,4,49
3,8,8,49
3,8,16,49
3,8,32,49
3,8,64,49
3,16,1,54
3,16,2,54
3,16,4,54
3,16,8,54
3,16,16,54
3,16,32,54
3,16,64,54
3,32,1,54
3,32,2,54
3,32,4,54
3,32,8,54
3,32,16,54
3,32,32,54
3,32,64,54
3,64,1,54
3,64,2,54
3,64,4,54
3,64,8,54
3,64,16,54
3,64,32,54
3,64,64,54
6,1,1,419
6,1,2,330
6,1,4,289
6,1,8,274
6,1,16,262
6,1,32,149
6,1,64,117
6,2,1,408
6,2,2,320
6,2,4,278
6,2,8,186
6,2,16,124
6,2,32,109
6,2,64,109
6,4,1,384
6,4,2,314
6,4,4,280
6,4,8,139
6,4,16,120
6,4,32,120
6,4,64,120
6,8,1,368
6,8,2,304
6,8,4,183
6,8,8,144
6,8,16,144
6,8,32,144
6,8,64,144
6,16,1,312
6,16,2,253
6,16,4,206
6,16,8,206
6,16,16,206
6,16,32,206
6,16,64,206
6,32,1,392
6,32,2,361
6,32,4,361
6,32,8,361
6,32,16,361
6,32,32,361
6,32,64,361
6,64,1,432
6,64,2,432
6,64,4,432
6,64,8,432
6,64,16,432
6,64,32,432
6,64,64,432
10,1,1,1979
10,1,2,1530
10,1,4,1304
10,1,8,1202
10,1,16,1156
10,1,32,1127
10,1,64,892
10,2,1,1960
10,2,2,1506
10,2,4,1292
10,2,8,988
10,2,16,710
10,2,32,560
10,2,64,285
10,4,1,1920
10,4,2,1476
10,4,4,1290
10,4,8,889
10,4,16,475
10,4,32,296
10,4,64,296
10,8,1,1832
10,8,2,1438
10,8,4,1320
10,8,8,888
10,8,16,356
10,8,32,356
10,8,64,356
10,16,1,1704
10,16,2,1236
10,16,4,913
10,16,8,418
10,16,16,418
10,16,32,418
10,16,64,418
10,32,1,1488
10,32,2,1216
10,32,4,691
10,32,8,691
10,32,16,691
10,32,32,691
10,32,64,691
10,64,1,1568
10,64,2,1157
10,64,4,1157
10,64,8,1157
10,64,16,1157
10,64,32,1157
10,64,64,1157
20,1,1,15959
20,1,2,12160
20,1,4,10260
20,1,8,9314
20,1,16,8849
20,1,32,8636
20,1,64,8518
20,2,1,15920
20,2,2,12120
20,2,4,10222
20,2,8,9278
20,2,16,8872
20,2,32,6388
20,2,64,4640
20,4,1,15840
20,4,2,12032
20,4,4,10152
20,4,8,9268
20,4,16,5728
20,4,32,3004
20,4,64,2304
20,8,1,15680
20,8,2,11888
20,8,4,10040
20,8,8,9122
20,8,16,5474
20,8,32,4614
20,8,64,1153
20,16,1,15360
20,16,2,11608
20,16,4,10032
20,16,8,9245
20,16,16,6003
20,16,32,1432
20,16,64,1432
20,32,1,14848
20,32,2,9700
20,32,4,8020
20,32,8,5687
20,32,16,1764
20,32,32,1764
20,32,64,1764
20,64,1,13952
20,64,2,8360
20,64,4,6133
20,64,8,2894
20,64,16,2894
20,64,32,2894
20,64,64,2894
50,1,1,249899
50,1,2,188650
50,1,4,158022
50,1,8,142704
50,1,16,135048
50,1,32,131235
50,1,64,129413
50,2,1,249800
50,2,2,188544
50,2,4,157912
50,2,8,142596
50,2,16,134954
50,2,32,114870
50,2,64,68842
50,4,1,249600
50,4,2,188350
50,4,4,157724
50,4,8,142416
50,4,16,134848
50,4,32,96237
50,4,64,60499
50,8,1,249200
50,8,2,187946
50,8,4,157324
50,8,8,142104
50,8,16,134950
50,8,32,84521
50,8,64,56247
50,16,1,248400
50,16,2,187166
50,16,4,156642
50,16,8,141762
50,16,16,135144
50,16,32,88800
50,16,64,54041
50,32,1,246800
50,32,2,185672
50,32,4,155476
50,32,8,142110
50,32,16,135184
50,32,32,89766
50,32,64,51033
50,64,1,243856
50,64,2,168952
50,64,4,133256
50,64,8,118464
50,64,16,109292
50,64,32,45256
50,64,64,10167
100,1,1,1999799
100,1,2,1504800
100,1,4,1257300
100,1,8,1133547
100,1,16,1071664
100,1,32,1040728
100,1,64,1025289
100,2,1,1999600
100,2,2,1504600
100,2,4,1257094
100,2,8,1133334
100,2,16,1071462
100,2,32,1040556
100,2,64,1025324
100,4,1,1999200
100,4,2,1504192
100,4,4,1256672
100,4,8,1132924
100,4,16,1071080
100,4,32,1040344
100,4,64,822036
100,8,1,1998400
100,8,2,1503392
100,8,4,1255904
100,8,8,1132168
100,8,16,1070464
100,8,32,1040520
100,8,64,822024
100,16,1,1996800
100,16,2,1501820
100,16,4,1254320
100,16,8,1130752
100,16,16,1069760
100,16,32,1040912
100,16,64,876844
100,32,1,1993600
100,32,2,1498644
100,32,4,1251356
100,32,8,1128368
100,32,16,1070412
100,32,32,1040960
100,32,64,951244
100,64,1,1987200
100,64,2,1492372
100,64,4,1245808
100,64,8,1125500
100,64,16,1071984
100,64,32,1041088
100,64,64,988988
