run_id,run_length
0,36
1,2
2,1
3,5
4,2
5,2
6,3
7,3
8,1
9,1
10,16
11,7
12,3
13,2
14,2
15,2
16,3
17,2
18,1
19,3
20,4
21,2
22,3
23,1
24,4
25,2
26,1
27,1
28,1
29,125
30,2
31,9
32,1
33,12
34,60
35,2
36,1
37,29
38,73
39,49
40,3
41,3
42,6
43,2
44,44
45,3
46,1
47,3
48,1
49,37
50,4
51,4
52,4
53,4
54,1
55,2
56,1
57,6
58,13
59,2
60,1
61,4
62,3
63,12
64,2
65,7
66,1
67,12
68,7
69,8
70,1
71,3
72,2
73,2
74,1
75,1
76,2
77,1
78,2
79,2
80,1
81,2
82,3
83,13
84,2
85,12
86,1
87,2
88,1
89,8
90,3
91,1
92,1
93,3
94,1
95,2
96,3
97,3
98,2
99,1
100,3
101,2
102,2
103,2
104,2
105,10
106,9
107,1
108,2
109,2
110,1
111,1
112,1
113,12
114,2
115,2
116,28
117,5
118,3
119,2
120,1
121,2
122,1
123,1
124,1
125,5
126,1
127,1
128,31
129,3
130,2
131,1
132,5
133,2
134,2
135,1
136,1
137,2
138,29
139,2
140,1
141,1
142,4
143,1
144,2
145,3
146,1
147,2
148,1
149,3
150,1
151,2
152,1
153,23
154,24
155,3
156,1
157,5
158,1
159,32
160,3
161,18
162,1
163,5
164,1
165,4
166,5
167,3
168,2
169,1
170,12
171,1
172,1
173,1
174,2
175,4
176,3
177,28
178,1
179,3
180,1
181,3
182,2
183,35
184,5
185,15
186,5
187,1
188,3
189,2
190,2
191,3
192,1
193,3
194,2
195,5
196,6
197,1
198,1
199,1
200,23
201,1
202,1
203,2
204,2
205,3
206,1
207,27
208,3
209,1
210,1
211,1
212,1
213,1
214,4
215,1
216,1
217,2
218,2
219,3
220,1
221,1
222,1
223,2
224,1
225,1
226,1
227,4
228,3
229,1
230,2
231,1
232,2
233,2
234,1
235,2
236,1
237,1
238,1
239,2
240,1
241,2
242,2
243,2
244,4
245,1
246,2
247,2
248,2
249,1
250,1
251,2
252,2
253,1
254,2
255,1
256,4
257,1
258,2
259,1
260,1
261,2
262,3
263,2
264,2
265,1
266,2
267,1
268,3
269,2
270,2
271,2
272,1
273,2
274,2
275,1
276,2
277,2
278,1
279,3
280,2
281,4
282,3
283,1
284,3
285,1
286,1
287,2
288,2
289,2
290,3
291,1
292,4
293,2
294,4
295,2
296,2
297,2
298,2
299,1
300,2
301,1
302,1
303,2
304,3
305,1
306,1
307,2
308,1
309,1
310,2
311,2
312,2
313,4
314,1
315,1
316,2
317,2
318,2
319,4
320,2
321,2
322,1
323,1
324,5
325,2
326,2
